# <60836>
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>
0 1	0 2	1
0 1	0 3	1
0 1	0 4	1
0 1	0 5	1
0 1	0 6	1
0 1	0 7	1
0 1	0 8	1
0 2	0 1	1
0 2	0 3	1
0 2	0 4	1
0 2	0 5	1
0 2	0 6	1
0 2	0 9	1
0 2	0 10	1
0 2	0 11	1
0 2	0 12	1
0 3	0 1	1
0 3	0 2	1
0 3	0 11	1
0 3	0 16	1
0 3	0 17	1
0 3	0 18	1
0 3	0 21	1
0 3	0 26	1
0 3	0 30	1
0 3	0 33	1
0 3	0 39	1
0 3	0 40	1
0 3	0 54	1
0 3	0 91	1
0 3	0 100	1
0 3	0 101	1
0 3	0 102	1
0 3	0 103	1
0 3	0 105	1
0 3	0 106	1
0 3	0 115	1
0 3	0 121	1
0 3	0 133	1
0 3	0 134	1
0 3	0 135	1
0 3	0 136	1
0 3	0 137	1
0 3	0 138	1
0 3	0 139	1
0 3	0 140	1
0 3	0 141	1
0 4	0 1	1
0 4	0 2	1
0 4	0 11	1
0 4	0 16	1
0 4	0 17	1
0 4	0 18	1
0 4	0 21	1
0 4	0 22	1
0 4	0 23	1
0 4	0 25	1
0 4	0 26	1
0 4	0 30	1
0 4	0 33	1
0 4	0 39	1
0 4	0 40	1
0 4	0 52	1
0 4	0 54	1
0 4	0 77	1
0 4	0 91	1
0 4	0 100	1
0 4	0 101	1
0 4	0 102	1
0 4	0 104	1
0 4	0 105	1
0 4	0 106	1
0 4	0 108	1
0 4	0 109	1
0 4	0 111	1
0 4	0 112	1
0 4	0 113	1
0 4	0 114	1
0 4	0 115	1
0 4	0 116	1
0 4	0 121	1
0 4	0 134	1
0 4	0 136	1
0 4	0 137	1
0 4	0 138	1
0 4	0 139	1
0 4	0 170	1
0 4	0 171	1
0 4	0 172	1
0 4	0 173	1
0 4	0 174	1
0 5	0 1	1
0 5	0 2	1
0 5	0 10	1
0 5	0 11	1
0 5	0 17	1
0 5	0 26	1
0 5	0 30	1
0 5	0 39	1
0 5	0 40	1
0 5	0 79	1
0 5	0 89	1
0 5	0 91	1
