# Simulation Minimum: 0.0 0.0 0.0
# Simulation Maximum: 141.0981 176.00237 130.5685
# Box Minimum: 0.0 0.0 0.0
# Box Maximum: 70.54905 88.001185 65.28425
# <5802>
# ID	Position (x y z)	Area	type
1	19.37056 54.46747 63.90031	lh.bankssts	ex
2	17.84999 54.50196 64.24411	lh.bankssts	ex
3	18.38306 62.29513 58.84779	lh.bankssts	ex
4	17.75514 62.32632 60.95044	lh.bankssts	ex
5	15.12296 69.27498 54.82663	lh.bankssts	ex
6	25.72152 46.9152 58.53867	lh.inferiorparietal	ex
7	20.24281 53.68215 64.00519	lh.inferiorparietalex	ex
8	20.45759 55.17315 64.02581	lh.inferiorparietalex	ex
9	17.33091 55.86575 64.8617	lh.bankssts	ex
10	16.37075 68.23575 54.58435	lh.bankssts	ex
11	21.18084 68.04411 53.17774	lh.bankssts	ex
12	17.19074 53.1484 63.91264	lh.middletemporal	ex
13	15.93606 55.67211 65.19763	lh.bankssts	ex
14	16.01934 58.35455 65.05618	lh.bankssts	ex
15	15.21266 54.1306 65.12659	lh.middletemporal	ex
16	20.12266 56.41821 64.14854	lh.bankssts	ex
17	18.51865 57.07631 64.64099	lh.bankssts	ex
18	21.23972 57.22602 63.7214	lh.bankssts	ex
19	16.36174 61.84784 61.04643	lh.bankssts	ex
20	16.35615 61.6088 59.51833	lh.bankssts	ex
21	18.56408 62.36615 60.55976	lh.bankssts	ex
22	16.81866 62.0253 59.18363	lh.bankssts	ex
23	17.95051 58.48789 64.64627	lh.bankssts	ex
24	15.11603 59.39127 64.6617	lh.bankssts	ex
25	21.21785 56.5558 63.76312	lh.bankssts	ex
26	19.21685 56.68932 64.65465	lh.bankssts	ex
27	20.61021 57.50918 63.83409	lh.bankssts	ex
28	16.56431 59.73929 64.90563	lh.bankssts	ex
29	15.48921 61.54261 62.44904	lh.bankssts	ex
30	18.14819 62.17579 56.86804	lh.bankssts	ex
31	13.78163 72.22494 53.46238	lh.bankssts	ex
32	43.72456 53.1157 47.25689	lh.fusiform	ex
33	27.94908 59.81146 40.58663	lh.fusiform	ex
34	22.31846 48.44253 55.997	lh.inferiorparietal	ex
35	27.10161 49.67479 45.88011	lh.inferiortemporal	ex
36	2.64949 77.59693 57.87278	lh.superiortemporal	ex
37	2.19093 79.42792 60.14832	lh.superiortemporal	ex
38	2.24801 79.13162 58.73874	lh.superiortemporal	ex
39	18.94011 55.02526 65.07318	lh.bankssts	ex
40	20.64668 66.70923 53.13942	lh.bankssts	ex
41	20.08867 54.252 64.78476	lh.inferiorparietal	ex
42	15.72023 60.6651 63.75216	lh.bankssts	ex
43	13.55077 59.32626 64.60073	lh.middletemporal	ex
44	18.61398 60.01424 63.76861	lh.bankssts	ex
45	14.36627 60.98074 62.86089	lh.bankssts	ex
46	17.287 61.15472 63.26863	lh.bankssts	ex
47	14.77062 61.3272 61.53947	lh.bankssts	ex
48	13.71938 60.9794 59.94706	lh.bankssts	ex
49	13.11063 60.3594 63.45404	lh.middletemporal	ex
50	18.22004 57.37357 65.23283	lh.bankssts	ex
51	20.97199 54.96268 64.29513	lh.inferiorparietal	ex
52	18.77227 60.31346 63.48198	lh.bankssts	ex
53	17.5252 61.99098 61.88434	lh.bankssts	ex
54	18.64496 62.01479 59.96046	lh.bankssts	ex
55	18.33826 62.01052 60.21559	lh.bankssts	ex
56	22.85579 54.72596 63.83418	lh.inferiorparietal	ex
57	17.33858 61.67985 58.64427	lh.bankssts	ex
58	17.07561 61.07879 57.14789	lh.bankssts	ex
59	14.75813 60.98107 58.65634	lh.bankssts	ex
60	14.40665 60.85679 56.75797	lh.bankssts	ex
61	12.2035 60.74383 60.09425	lh.bankssts	ex
62	11.45005 60.66841 58.90819	lh.bankssts	ex
63	11.24689 60.7788 61.88002	lh.middletemporal	ex
64	9.92623 60.8651 60.1981	lh.bankssts	ex
65	11.8508 60.93498 56.75983	lh.bankssts	ex
66	9.71721 60.86837 61.81503	lh.middletemporal	ex
67	9.15786 61.1067 59.61173	lh.middletemporal	ex
68	15.74169 60.88238 56.12359	lh.bankssts	ex
69	17.70086 61.4816 55.71071	lh.bankssts	ex
70	16.36799 61.28518 54.68642	lh.bankssts	ex
71	13.12878 61.07422 55.49012	lh.bankssts	ex
72	13.29554 62.08192 54.06622	lh.bankssts	ex
73	10.8526 61.02991 56.19854	lh.bankssts	ex
74	10.74405 61.83988 55.02295	lh.bankssts	ex
75	9.53112 61.34029 57.02848	lh.middletemporal	ex
76	18.08649 59.09644 64.55806	lh.bankssts	ex
77	17.49087 61.69724 62.38704	lh.bankssts	ex
78	11.26193 67.82306 55.18443	lh.bankssts	ex
79	13.69822 69.00021 55.15412	lh.bankssts	ex
80	12.26624 69.27003 54.97433	lh.bankssts	ex
81	17.61127 70.54279 54.09123	lh.bankssts	ex
82	11.78275 59.82199 35.23721	lh.inferiortemporal	ex
83	24.92332 47.26104 57.87653	lh.middletemporal	ex
84	22.32287 49.70233 55.34305	lh.middletemporal	ex
85	21.305 49.67088 54.8625	lh.middletemporal	ex
86	21.26854 49.72029 54.87559	lh.middletemporal	ex
87	6.87791 60.88824 44.42091	lh.middletemporal	ex
88	6.86284 61.00216 44.22018	lh.middletemporal	ex
89	16.12499 62.09172 53.67157	lh.bankssts	ex
90	16.45105 64.80064 53.06823	lh.bankssts	ex
91	20.19699 65.9771 52.8911	lh.bankssts	ex
92	17.19583 66.05479 53.21712	lh.bankssts	ex
93	11.90796 62.75157 54.1603	lh.bankssts	ex
94	9.42257 62.15026 55.85289	lh.middletemporal	ex
95	14.62085 62.58785 53.62063	lh.bankssts	ex
96	17.42381 63.6117 53.09338	lh.bankssts	ex
97	14.78861 64.11852 53.32328	lh.bankssts	ex
98	11.82013 64.22077 54.29797	lh.bankssts	ex
99	15.24948 60.80167 63.89145	lh.bankssts	ex
100	21.05343 69.04044 53.15171	lh.bankssts	ex
101	20.14437 74.89437 50.27333	lh.bankssts	ex
102	24.32426 52.9228 44.92085	lh.fusiform	ex
103	24.54902 55.19622 43.0382	lh.fusiform	ex
104	21.42495 63.47155 33.96094	lh.fusiform	ex
105	23.37134 68.60237 33.3722	lh.fusiform	ex
106	35.25858 76.26354 41.69825	lh.fusiform	ex
107	12.82975 58.92511 34.81557	lh.inferiortemporal	ex
108	21.41966 66.43745 31.77399	lh.inferiortemporal	ex
109	7.95971 71.56636 37.74686	lh.inferiortemporal	ex
110	8.15326 72.13503 36.1519	lh.inferiortemporal	ex
111	8.70829 71.69926 37.76053	lh.inferiortemporal	ex
112	7.66284 71.80041 37.80067	lh.inferiortemporal	ex
113	5.48271 70.43749 39.73383	lh.middletemporal	ex
114	6.26417 71.84815 38.56461	lh.middletemporal	ex
115	16.51023 79.73001 43.43242	lh.middletemporal	ex
116	25.9877 77.70158 60.65129	lh.superiortemporal	ex
117	17.32061 64.26697 53.24246	lh.bankssts	ex
118	13.6633 67.37743 55.0879	lh.bankssts	ex
119	10.02351 67.61688 54.80768	lh.bankssts	ex
120	9.47583 69.98301 53.55019	lh.bankssts	ex
121	18.01305 79.18946 43.48466	lh.superiortemporal	ex
122	10.3531 64.60363 54.89114	lh.bankssts	ex
123	13.37441 65.08071 53.90653	lh.bankssts	ex
124	9.96539 65.97811 54.93712	lh.bankssts	ex
125	9.1205 63.4448 55.58344	lh.middletemporal	ex
126	16.8634 66.66532 53.45667	lh.bankssts	ex
127	20.35418 74.85466 50.56661	lh.bankssts	ex
128	13.23621 77.93176 47.85699	lh.middletemporal	ex
129	13.67552 78.14703 45.38928	lh.middletemporal	ex
130	15.0394 78.25177 44.31827	lh.middletemporal	ex
131	13.19792 66.65299 54.31484	lh.bankssts	ex
132	7.57615 70.88056 49.74251	lh.middletemporal	ex
133	20.32703 74.00608 51.15771	lh.bankssts	ex
134	20.26594 73.9769 50.92764	lh.bankssts	ex
135	19.80896 73.9592 51.64328	lh.bankssts	ex
136	21.3624 62.67152 33.86391	lh.fusiform	ex
137	9.31153 67.77544 47.72215	lh.middletemporal	ex
138	3.74536 73.20828 40.36603	lh.middletemporal	ex
139	11.2866 78.56764 45.8785	lh.middletemporal	ex
140	25.43102 78.21715 60.18461	lh.transversetemporal	ex
141	25.47515 78.22058 60.15952	lh.transversetemporal	ex
142	8.18138 65.86646 55.24984	lh.bankssts	ex
143	11.25593 67.16861 54.75219	lh.bankssts	ex
144	7.7871 67.19579 54.79481	lh.bankssts	ex
145	7.87048 64.28582 55.83688	lh.middletemporal	ex
146	13.53611 60.73714 64.54125	lh.bankssts	ex
147	11.87584 61.46748 64.58252	lh.bankssts	ex
148	10.94381 68.71322 54.25712	lh.bankssts	ex
149	9.259 68.85313 53.98692	lh.bankssts	ex
150	6.02744 67.28728 54.56213	lh.middletemporal	ex
151	18.5112 67.53489 53.37902	lh.bankssts	ex
152	15.88099 67.29956 53.97161	lh.bankssts	ex
153	14.20659 77.92586 48.66691	lh.middletemporal	ex
154	14.40202 77.59389 49.56512	lh.middletemporal	ex
155	19.88677 66.96341 53.05267	lh.bankssts	ex
156	18.83137 69.26337 53.6013	lh.bankssts	ex
157	15.17746 77.80915 45.37038	lh.middletemporal	ex
158	8.12498 80.08725 46.28429	lh.middletemporal	ex
159	10.8609 79.55857 45.07153	lh.middletemporal	ex
160	7.05758 81.08029 45.89233	lh.superiortemporal	ex
161	13.03912 77.82246 49.36358	lh.superiortemporal	ex
162	27.02074 85.64925 48.92453	lh.superiortemporal	ex
163	14.36688 67.1838 54.21683	lh.bankssts	ex
164	16.1274 68.81243 54.28404	lh.bankssts	ex
165	14.61329 68.69666 54.52929	lh.bankssts	ex
166	11.2325 61.89345 63.75675	lh.bankssts	ex
167	14.11672 61.56763 61.02403	lh.bankssts	ex
168	9.66702 62.143 63.96353	lh.bankssts	ex
169	11.62814 61.48566 62.45344	lh.bankssts	ex
170	22.59006 67.5654 33.08878	lh.fusiform	ex
171	21.59698 61.16421 35.69788	lh.inferiortemporal	ex
172	9.1356 67.33397 47.46476	lh.middletemporal	ex
173	8.90184 72.26902 36.16556	lh.middletemporal	ex
174	61.42666 75.59791 50.09591	lh.parahippocampal	ex
175	15.8948 61.89314 55.19869	lh.bankssts	ex
176	15.77584 63.24321 53.8297	lh.bankssts	ex
177	17.39378 61.94577 56.81322	lh.bankssts	ex
178	14.01279 61.55312 56.25083	lh.bankssts	ex
179	14.36626 64.44751 53.98049	lh.bankssts	ex
180	11.58357 70.31674 53.89544	lh.bankssts	ex
181	12.45049 69.8672 53.97613	lh.bankssts	ex
182	16.70599 81.63749 62.09907	lh.superiortemporal	ex
183	14.14792 81.69291 61.70912	lh.superiortemporal	ex
184	8.7854 69.9107 52.59256	lh.middletemporal	ex
185	19.59488 66.27479 53.04762	lh.bankssts	ex
186	16.04017 66.87172 54.03886	lh.bankssts	ex
187	20.45131 69.33813 53.30823	lh.bankssts	ex
