# <43674>
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>
7 1	6 5	1
7 1	6 7	1
7 1	6 13	1
7 1	7 2	1
7 1	6 31	1
7 1	7 13	1
7 1	6 330	1
7 1	6 334	1
7 1	6 353	1
7 1	7 273	1
7 1	6 2276	1
7 1	6 2278	1
7 1	6 2285	1
7 1	7 394	1
7 1	7 395	1
7 1	6 2289	1
7 1	7 497	1
7 2	2 12	1
7 2	2 15	1
7 2	2 16	1
7 2	2 18	1
7 2	6 7	1
7 2	7 1	1
7 2	6 13	1
7 2	7 3	1
7 2	6 31	1
7 2	7 13	1
7 2	2 84	1
7 2	6 331	1
7 2	6 332	1
7 2	2 100	1
7 2	6 355	1
7 2	6 356	1
7 2	7 174	1
7 2	7 176	1
7 2	6 1499	1
7 2	7 273	1
7 2	6 2278	1
7 2	7 392	1
7 2	6 2285	1
7 2	7 394	1
7 2	7 494	1
7 2	1 507	1
7 3	2 15	1
7 3	2 16	1
7 3	2 18	1
7 3	6 7	1
7 3	6 13	1
7 3	7 2	1
7 3	7 4	1
7 3	2 27	1
7 3	6 31	1
7 3	7 13	1
7 3	6 330	1
7 3	6 331	1
7 3	6 332	1
7 3	6 352	1
7 3	6 354	1
7 3	6 355	1
7 3	7 174	1
7 3	7 176	1
7 3	7 203	1
7 3	0 1498	1
7 3	0 1589	1
7 3	0 3491	1
7 3	6 1499	1
7 3	7 273	1
7 3	6 2274	1
7 3	6 2275	1
7 3	6 2276	1
7 3	6 2277	1
7 3	6 2278	1
7 3	7 393	1
7 3	6 2284	1
7 3	6 2285	1
7 3	7 394	1
7 3	1 507	1
7 3	1 508	1
7 3	1 509	1
7 3	1 510	1
7 4	2 15	1
7 4	2 16	1
7 4	2 18	1
7 4	6 7	1
7 4	6 13	1
7 4	6 19	1
7 4	7 3	1
7 4	6 22	1
7 4	2 27	1
7 4	6 31	1
7 4	2 59	1
7 4	6 328	1
7 4	6 330	1
7 4	6 331	1
7 4	6 332	1
7 4	6 349	1
7 4	6 352	1
7 4	6 354	1
7 4	6 355	1
7 4	6 397	1
7 4	7 174	1
7 4	7 176	1
7 4	0 1498	1
7 4	0 1589	1
7 4	6 1499	1
7 4	0 4734	1
7 4	6 2264	1
7 4	6 2274	1
7 4	6 2275	1
7 4	6 2277	1
7 4	6 2278	1
7 4	7 386	1
7 4	7 393	1
7 4	6 2284	1
7 4	6 2285	1
7 4	6 4374	1
7 4	7 500	1
7 5	3 1	1
7 5	6 13	1
7 5	6 20	1
7 5	7 7	1
7 5	6 30	1
7 5	7 19	1
7 5	7 20	1
7 5	6 47	1
7 5	6 51	1
7 5	6 57	1
7 5	6 91	1
7 5	6 111	1
7 5	7 73	1
7 5	7 74	1
7 5	2 60	1
7 5	2 61	1
7 5	2 64	1
7 5	1 297	1
7 5	1 298	1
7 5	7 264	1
7 5	2 5547	1
7 5	2 5738	1
7 5	7 821	1
7 5	7 822	1
7 6	3 1	1
7 6	6 13	1
7 6	7 7	1
7 6	2 27	1
7 6	7 10	1
7 6	7 11	1
7 6	6 30	1
7 6	2 28	1
7 6	2 31	1
7 6	2 32	1
7 6	6 39	1
7 6	6 40	1
7 6	6 41	1
7 6	6 44	1
7 6	6 47	1
7 6	7 21	1
7 6	7 22	1
7 6	6 49	1
7 6	7 23	1
7 6	3 2	1
7 6	3 3	1
7 6	7 30	1
7 6	7 43	1
7 6	7 45	1
7 6	6 66	1
7 6	6 84	1
7 6	6 109	1
7 6	7 51	1
7 6	6 111	1
7 6	6 114	1
7 6	6 116	1
7 6	6 144	1
7 6	6 147	1
7 6	6 148	1
7 6	6 149	1
7 6	6 171	1
7 6	6 172	1
7 6	2 58	1
7 6	7 73	1
7 6	7 74	1
7 6	2 60	1
7 6	2 61	1
7 6	2 62	1
7 6	2 63	1
7 6	2 64	1
7 6	3 8	1
7 6	3 9	1
7 6	7 76	1
7 6	7 89	1
7 6	7 90	1
7 6	7 91	1
7 6	7 93	1
7 6	7 105	1
7 6	7 137	1
7 6	2 82	1
7 6	7 180	1
7 6	1 298	1
7 6	7 264	1
7 6	2 3543	1
7 6	0 4734	1
7 6	2 3636	1
7 6	2 5547	1
7 6	6 2296	1
7 6	6 2297	1
7 6	6 2298	1
7 6	7 416	1
7 6	6 3062	1
7 6	7 425	1
7 6	3 643	1
7 6	6 5632	1
7 6	7 825	1
7 6	2 6486	1
7 6	2 6490	1
7 6	3 853	1
7 7	6 13	1
7 7	7 5	1
7 7	7 6	1
7 7	7 8	1
7 7	7 9	1
7 7	7 10	1
7 7	7 12	1
7 7	7 17	1
7 7	6 48	1
7 7	6 49	1
7 7	6 50	1
7 7	7 29	1
7 7	7 32	1
7 7	7 33	1
7 7	6 93	1
7 7	6 126	1
7 7	6 127	1
7 7	6 128	1
7 7	6 129	1
7 7	6 130	1
7 7	6 133	1
7 7	6 139	1
7 7	7 61	1
7 7	6 145	1
7 7	7 68	1
7 7	7 73	1
7 7	7 834	1
7 8	3 1	1
7 8	6 13	1
7 8	7 7	1
7 8	2 27	1
7 8	7 10	1
7 8	6 30	1
7 8	6 41	1
7 8	7 20	1
7 8	6 49	1
7 8	6 50	1
7 8	6 51	1
