# <42817>
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>
6 1	0 80	1
6 1	4 90	1
6 1	4 91	1
6 1	0 253	1
6 1	6 2	1
6 1	0 331	1
6 1	2 11	1
6 1	6 99	1
6 1	2 174	1
6 1	4 132	1
6 1	2 177	1
6 1	6 550	1
6 1	4 157	1
6 1	6 1014	1
6 1	2 195	1
6 1	2 196	1
6 1	2 1856	1
6 1	4 2031	1
6 1	4 2045	1
6 1	2 1877	1
6 1	2 1995	1
6 1	2 1998	1
6 1	2 2000	1
6 1	2 2019	1
6 1	2 2025	1
6 1	2 4553	1
6 1	4 2892	1
6 1	2 4587	1
6 1	2 4588	1
6 1	2 4594	1
6 1	2 4602	1
6 1	2 4653	1
6 1	2 4654	1
6 1	6 1670	1
6 1	4 2893	1
6 1	2 4671	1
6 1	2 4672	1
6 1	0 5430	1
6 2	0 80	1
6 2	4 91	1
6 2	0 253	1
6 2	6 1	1
6 2	2 11	1
6 2	6 99	1
6 2	2 171	1
6 2	2 177	1
6 2	4 157	1
6 2	4 158	1
6 2	2 195	1
6 2	6 1112	1
6 2	0 3076	1
6 2	4 2031	1
6 2	2 1897	1
6 2	2 1995	1
6 2	2 1998	1
6 2	2 2000	1
6 2	2 2520	1
6 2	6 1663	1
6 2	2 4588	1
6 2	2 4589	1
6 2	2 4653	1
6 3	0 80	1
6 3	6 464	1
6 3	2 171	1
6 3	2 176	1
6 3	4 157	1
6 3	6 889	1
6 3	2 195	1
6 3	6 1071	1
6 3	2 1856	1
6 3	4 2031	1
6 3	2 1998	1
6 3	2 2000	1
6 3	2 4587	1
6 3	2 4588	1
6 3	2 4602	1
6 3	2 4653	1
6 3	2 5554	1
6 4	0 80	1
6 4	6 99	1
6 4	6 541	1
6 4	6 1065	1
6 4	6 1105	1
6 4	6 1177	1
6 4	0 3076	1
6 4	6 2942	1
6 5	6 6	1
6 5	2 12	1
6 5	2 13	1
6 5	2 14	1
6 5	0 417	1
6 5	0 418	1
6 5	0 419	1
6 5	2 15	1
6 5	2 16	1
6 5	2 17	1
6 5	2 18	1
6 5	2 19	1
6 5	2 20	1
6 5	2 21	1
6 5	0 420	1
6 5	0 421	1
6 5	2 22	1
6 5	2 23	1
6 5	6 7	1
6 5	6 8	1
6 5	7 1	1
6 5	2 24	1
6 5	3 1	1
6 6	6 5	1
6 6	6 13	1
6 6	6 14	1
6 7	6 5	1
6 7	7 1	1
6 7	7 2	1
6 7	7 3	1
6 7	7 4	1
6 7	6 22	1
6 7	6 330	1
6 7	6 2278	1
6 8	6 5	1
6 8	0 419	1
6 8	2 15	1
6 8	2 16	1
6 8	2 17	1
6 8	2 18	1
6 8	2 20	1
6 8	0 421	1
6 8	2 22	1
6 8	3 1	1
6 8	0 423	1
6 8	6 20	1
6 8	1 1	1
6 8	7 10	1
6 8	6 41	1
6 8	1 3	1
6 8	2 48	1
6 8	2 50	1
6 8	7 84	1
6 8	0 431	1
6 8	0 432	1
6 8	0 3488	1
6 8	2 3462	1
6 8	2 3464	1
6 8	2 3502	1
6 8	2 3619	1
6 8	6 2276	1
6 8	2 5543	1
6 8	2 5544	1
