# Simulation Minimum: 0.0 0.0 0.0
# Simulation Maximum: 141.0981 176.00237 130.5685
# Box Minimum: 70.54905 88.001185 0.0
# Box Maximum: 141.0981 176.00237 65.28425
# <6607>
# ID	Position (x y z)	Area	type
1	70.56935 88.29248 50.76755	rh.insula	ex
2	70.71089 129.84638 52.77876	rh.rostralanteriorcingulate	ex
3	71.51614 130.988 50.77158	rh.rostralanteriorcingulate	ex
4	72.06504 132.9993 52.43504	rh.rostralanteriorcingulate	ex
5	72.55459 133.46638 50.14598	rh.rostralanteriorcingulate	ex
6	71.00217 112.05532 59.86582	lh.medialorbitofrontal	ex
7	70.71513 95.85855 62.29973	rh.caudalanteriorcingulate	ex
8	70.63961 102.46735 53.52733	rh.insula	ex
9	71.20718 106.14772 53.72502	rh.insula	ex
10	70.87722 94.68075 63.7153	rh.posteriorcingulate	ex
11	70.78904 117.01547 62.46475	lh.medialorbitofrontal	ex
12	71.84321 136.29516 58.89813	rh.rostralanteriorcingulate	ex
13	70.98956 112.4685 61.44791	rh.insula	ex
14	71.22889 132.4802 59.4994	rh.rostralanteriorcingulate	ex
15	74.16457 140.47321 57.79632	rh.rostralanteriorcingulate	ex
16	70.77758 143.83425 55.99356	lh.rostralanteriorcingulate	ex
17	83.44544 169.43137 37.3512	rh.frontalpole	ex
18	75.92731 149.1579 54.27039	rh.medialorbitofrontal	ex
19	74.07549 155.9378 48.88265	rh.medialorbitofrontal	ex
20	75.60147 157.05095 48.37681	rh.medialorbitofrontal	ex
21	112.66205 149.18882 35.26218	rh.parsorbitalis	ex
22	111.66807 150.34681 36.29246	rh.parsorbitalis	ex
23	71.3371 135.49575 61.59825	rh.rostralanteriorcingulate	ex
24	75.02973 139.40778 52.41543	rh.rostralanteriorcingulate	ex
25	91.39321 170.42274 44.00909	rh.rostralmiddlefrontal	ex
26	71.15649 142.67086 64.30488	rh.superiorfrontal	ex
27	70.6803 144.17798 63.79367	rh.superiorfrontal	ex
28	76.06368 151.7355 60.22812	rh.superiorfrontal	ex
29	74.92499 155.32897 55.84667	rh.superiorfrontal	ex
30	71.63714 157.15097 53.43132	rh.superiorfrontal	ex
31	70.75904 158.09833 53.54649	rh.superiorfrontal	ex
32	93.96352 164.89311 50.0108	rh.rostralmiddlefrontal	ex
33	74.49336 148.04443 53.90868	rh.medialorbitofrontal	ex
34	114.32872 149.35094 35.5573	rh.parsorbitalis	ex
35	78.32227 141.27075 61.24066	rh.rostralanteriorcingulate	ex
36	91.19566 170.04588 41.95653	rh.rostralmiddlefrontal	ex
37	70.93017 143.83675 58.84436	lh.rostralanteriorcingulate	ex
38	70.85695 143.01319 57.32981	lh.rostralanteriorcingulate	ex
39	70.74756 145.17478 58.33579	lh.rostralanteriorcingulate	ex
40	72.75369 139.25212 62.11212	rh.rostralanteriorcingulate	ex
41	72.31746 138.37523 60.73439	rh.rostralanteriorcingulate	ex
42	86.40212 163.31273 33.78033	rh.rostralmiddlefrontal	ex
43	86.11282 164.98367 33.39938	rh.rostralmiddlefrontal	ex
44	85.06192 167.51039 33.95976	rh.rostralmiddlefrontal	ex
45	72.05 141.31142 64.58612	rh.superiorfrontal	ex
46	76.51393 149.74707 54.81459	rh.superiorfrontal	ex
47	70.61976 145.34466 61.28489	lh.rostralanteriorcingulate	ex
48	72.0309 171.35533 43.77952	rh.frontalpole	ex
49	114.50672 141.70902 33.59418	rh.parsorbitalis	ex
50	107.47516 142.56516 33.3227	rh.parsorbitalis	ex
51	102.95315 145.2711 36.01872	rh.parsorbitalis	ex
52	104.71441 145.26655 35.6801	rh.parsorbitalis	ex
53	114.30187 152.43151 40.294	rh.parsorbitalis	ex
54	114.44401 150.72025 36.73125	rh.parsorbitalis	ex
55	73.9555 139.83066 54.04366	rh.rostralanteriorcingulate	ex
56	92.52104 169.32175 38.23142	rh.rostralmiddlefrontal	ex
57	78.01959 150.29032 46.00235	rh.medialorbitofrontal	ex
58	120.66177 132.1999 43.32376	rh.parstriangularis	ex
59	119.71248 133.96734 41.26977	rh.parstriangularis	ex
60	74.02759 140.33884 60.30982	rh.rostralanteriorcingulate	ex
61	72.90651 139.17103 59.62725	rh.rostralanteriorcingulate	ex
62	71.19894 143.70341 56.22927	rh.rostralanteriorcingulate	ex
63	71.52951 144.01047 54.70678	rh.rostralanteriorcingulate	ex
64	93.68087 163.4691 49.99604	rh.rostralmiddlefrontal	ex
65	92.52306 162.52034 50.26579	rh.rostralmiddlefrontal	ex
66	93.73134 165.58351 50.03508	rh.rostralmiddlefrontal	ex
67	93.59267 170.63934 44.28362	rh.rostralmiddlefrontal	ex
68	111.28912 143.87392 33.06194	rh.parsorbitalis	ex
69	107.59536 144.04996 34.01403	rh.parsorbitalis	ex
70	105.68038 150.49698 38.00681	rh.parsorbitalis	ex
71	93.47116 168.20782 37.92826	rh.rostralmiddlefrontal	ex
72	92.65645 170.19408 40.04546	rh.rostralmiddlefrontal	ex
73	72.4609 172.72924 55.12124	rh.frontalpole	ex
74	77.49853 163.35301 30.2885	rh.lateralorbitofrontal	ex
75	72.54783 171.41525 56.4869	rh.frontalpole	ex
76	70.69437 159.82616 40.21719	rh.medialorbitofrontal	ex
77	73.51909 164.41833 34.11658	rh.frontalpole	ex
78	72.67107 165.25885 35.64637	rh.frontalpole	ex
79	73.12283 167.53933 37.97692	rh.frontalpole	ex
80	75.7318 174.0893 45.55201	rh.frontalpole	ex
81	73.44924 170.19526 39.52737	rh.frontalpole	ex
82	72.73751 171.20961 41.81787	rh.frontalpole	ex
83	74.64852 171.19515 39.81455	rh.frontalpole	ex
84	73.71471 173.21462 45.46801	rh.frontalpole	ex
85	74.06931 171.83414 41.14144	rh.frontalpole	ex
86	72.09539 162.83512 52.13695	rh.medialorbitofrontal	ex
87	71.72831 165.3649 50.99499	rh.medialorbitofrontal	ex
88	71.34773 166.94803 50.94373	rh.medialorbitofrontal	ex
89	70.55965 163.62351 36.04941	rh.medialorbitofrontal	ex
90	75.37182 165.11333 33.65493	rh.frontalpole	ex
91	73.39414 172.55567 44.29729	rh.frontalpole	ex
92	70.95391 154.43803 59.21046	lh.superiorfrontal	ex
93	70.8268 153.5874 60.45654	lh.superiorfrontal	ex
94	82.30184 172.46461 44.3592	rh.frontalpole	ex
95	82.03448 171.83004 42.28056	rh.frontalpole	ex
96	118.96287 144.87351 37.75605	rh.parstriangularis	ex
97	77.6227 165.41448 62.29576	rh.superiorfrontal	ex
98	76.44935 166.3988 63.00101	rh.superiorfrontal	ex
99	70.64023 153.74003 62.07273	lh.superiorfrontal	ex
100	85.73889 173.64337 49.05327	rh.frontalpole	ex
101	84.31451 173.77578 48.44118	rh.frontalpole	ex
102	84.17697 171.82702 42.35095	rh.frontalpole	ex
103	85.30957 174.39352 51.09837	rh.frontalpole	ex
104	76.76093 151.95806 55.50865	rh.medialorbitofrontal	ex
105	76.6248 141.38582 61.35784	rh.rostralanteriorcingulate	ex
106	76.02 151.75737 60.73016	rh.superiorfrontal	ex
107	71.19667 155.74804 58.8645	lh.superiorfrontal	ex
108	73.76818 166.28248 36.44398	rh.frontalpole	ex
109	81.75331 169.58712 39.45486	rh.frontalpole	ex
110	78.55735 173.44873 45.36067	rh.frontalpole	ex
111	77.102 173.70578 44.65986	rh.frontalpole	ex
112	79.47259 172.55012 42.73331	rh.frontalpole	ex
113	76.52222 172.88176 42.58721	rh.frontalpole	ex
114	74.46816 171.76671 58.87526	rh.superiorfrontal	ex
115	78.69917 169.23097 38.63286	rh.frontalpole	ex
116	70.89265 164.42245 59.07059	rh.superiorfrontal	ex
117	71.71823 166.67511 62.6464	rh.superiorfrontal	ex
118	70.82876 165.60576 56.5813	rh.superiorfrontal	ex
119	72.50041 169.60977 62.8781	rh.superiorfrontal	ex
120	81.48379 174.94466 49.94547	rh.frontalpole	ex
121	79.05986 168.70594 37.68768	rh.frontalpole	ex
122	71.88849 163.59274 64.46008	rh.superiorfrontal	ex
123	72.31472 163.43318 62.65335	rh.superiorfrontal	ex
124	72.23185 164.04215 61.79502	rh.superiorfrontal	ex
125	71.28642 164.74307 60.80698	rh.superiorfrontal	ex
126	71.59034 165.28417 36.51227	rh.frontalpole	ex
127	73.76718 175.0179 50.06045	rh.frontalpole	ex
128	72.72181 174.28858 49.71575	rh.frontalpole	ex
129	75.91472 166.26266 34.6004	rh.frontalpole	ex
130	73.78727 168.83068 38.41698	rh.frontalpole	ex
131	74.83145 172.60633 42.30864	rh.frontalpole	ex
132	74.72289 174.75924 47.92911	rh.frontalpole	ex
133	71.74052 162.52308 33.19897	rh.medialorbitofrontal	ex
134	81.08167 169.0932 39.16982	rh.frontalpole	ex
135	82.1761 168.97016 36.29039	rh.frontalpole	ex
136	92.67107 165.66243 49.77263	rh.rostralmiddlefrontal	ex
137	87.53496 173.50738 52.55714	rh.rostralmiddlefrontal	ex
138	90.00964 172.49522 50.98171	rh.rostralmiddlefrontal	ex
139	88.46398 173.07159 50.64371	rh.rostralmiddlefrontal	ex
140	77.8859 175.32428 50.03557	rh.frontalpole	ex
141	78.07125 174.89213 48.23707	rh.frontalpole	ex
142	83.88414 174.52594 50.48627	rh.frontalpole	ex
143	76.16471 175.4598 50.25754	rh.frontalpole	ex
144	80.13409 170.01695 39.25311	rh.frontalpole	ex
145	71.72639 168.13474 52.46144	rh.medialorbitofrontal	ex
146	71.65055 169.5149 61.76227	rh.superiorfrontal	ex
147	80.00414 171.06708 40.04572	rh.frontalpole	ex
148	73.63917 163.95416 62.19892	rh.superiorfrontal	ex
149	73.11785 165.46801 62.71103	rh.superiorfrontal	ex
150	70.94128 166.38876 61.34442	rh.superiorfrontal	ex
151	75.31015 175.45354 51.72007	rh.frontalpole	ex
152	73.92784 175.15885 51.40165	rh.frontalpole	ex
153	72.98602 174.59415 52.54387	rh.frontalpole	ex
154	78.24647 165.84386 31.77687	rh.frontalpole	ex
155	78.68117 168.38411 35.17394	rh.frontalpole	ex
156	80.19973 168.92807 35.1213	rh.frontalpole	ex
157	75.74288 170.82292 39.09121	rh.frontalpole	ex
158	77.73746 172.3508 41.65816	rh.frontalpole	ex
159	80.78462 171.64049 41.46341	rh.frontalpole	ex
160	75.06378 175.16599 49.26915	rh.frontalpole	ex
161	76.00917 174.62089 47.11913	rh.frontalpole	ex
162	73.0763 174.11103 48.08209	rh.frontalpole	ex
163	73.29095 174.01243 54.33766	rh.frontalpole	ex
164	76.32682 167.54957 36.817	rh.frontalpole	ex
165	75.15911 166.5913 35.86078	rh.frontalpole	ex
166	77.95552 171.5774 40.28938	rh.frontalpole	ex
167	70.55068 162.28543 34.34791	rh.medialorbitofrontal	ex
168	79.94958 175.60395 52.11537	rh.frontalpole	ex
169	79.6575 176.00237 55.13577	rh.frontalpole	ex
170	76.00899 168.9312 64.04679	rh.superiorfrontal	ex
171	78.50224 175.15974 62.15797	rh.superiorfrontal	ex
172	77.42244 174.94639 62.95155	rh.superiorfrontal	ex
173	82.22475 175.41621 52.96498	rh.frontalpole	ex
174	79.16243 175.91283 53.98969	rh.frontalpole	ex
175	78.86277 175.8719 57.57626	rh.frontalpole	ex
176	71.85119 167.83415 43.82102	rh.frontalpole	ex
177	74.46693 164.29899 62.94503	rh.superiorfrontal	ex
178	115.80328 140.57792 34.83168	rh.parsorbitalis	ex
179	72.94931 166.45745 63.02474	rh.superiorfrontal	ex
180	71.49196 170.32042 44.82029	rh.frontalpole	ex
181	71.34543 170.18926 54.08353	rh.frontalpole	ex
182	70.83106 170.36213 51.69105	rh.frontalpole	ex
183	71.4081 171.81098 53.97445	rh.frontalpole	ex
184	71.23658 172.02373 52.51047	rh.frontalpole	ex
185	72.34548 173.098 47.18799	rh.frontalpole	ex
186	71.98449 173.5248 51.86346	rh.frontalpole	ex
187	71.88096 173.36018 50.37664	rh.frontalpole	ex
188	74.26497 170.9515 63.4936	rh.superiorfrontal	ex
189	72.17399 170.40057 59.30452	rh.superiorfrontal	ex
190	74.64161 173.16876 60.4259	rh.superiorfrontal	ex
191	101.21375 98.9875 9.89501	rh.entorhinal	ex
192	101.40389 100.40309 11.16964	rh.entorhinal	ex
193	78.61767 167.18801 32.78304	rh.frontalpole	ex
194	81.75957 167.79754 33.25314	rh.frontalpole	ex
195	84.82172 171.10012 40.67256	rh.frontalpole	ex
196	78.63544 175.52042 51.43596	rh.frontalpole	ex
197	71.4093 161.71439 62.75372	rh.superiorfrontal	ex
198	73.86573 172.67331 61.60404	rh.superiorfrontal	ex
199	76.32426 175.06095 62.33062	rh.superiorfrontal	ex
200	111.09111 119.50295 17.66125	rh.superiortemporal	ex
201	119.80654 123.81894 25.0398	rh.superiortemporal	ex
202	119.56571 124.12249 26.50184	rh.superiortemporal	ex
203	120.72193 123.40694 27.40275	rh.superiortemporal	ex
204	112.56659 121.75771 16.53005	rh.superiortemporal	ex
205	112.75667 121.39564 14.97097	rh.superiortemporal	ex
206	117.20964 127.23839 30.51102	rh.superiortemporal	ex
207	76.64493 174.84232 59.51226	rh.superiorfrontal	ex
208	71.9338 170.03975 55.65071	rh.frontalpole	ex
209	74.92554 173.68844 57.12366	rh.frontalpole	ex
210	71.51717 167.47079 56.91388	rh.superiorfrontal	ex
211	71.11764 168.66625 58.50397	rh.superiorfrontal	ex
212	70.71547 167.7439 60.79316	rh.superiorfrontal	ex
213	72.46717 170.97821 60.97734	rh.superiorfrontal	ex
214	74.81366 172.55173 63.00447	rh.superiorfrontal	ex
215	72.34228 168.1262 63.21085	rh.superiorfrontal	ex
216	71.21907 171.44319 49.48187	rh.frontalpole	ex
217	71.32911 171.35856 47.92688	rh.frontalpole	ex
218	71.17401 169.98943 46.80159	rh.frontalpole	ex
219	75.96702 174.54042 57.60461	rh.frontalpole	ex
220	75.53552 175.28417 53.61076	rh.frontalpole	ex
221	74.45802 174.40668 55.08617	rh.frontalpole	ex
222	76.72269 175.54489 54.29818	rh.frontalpole	ex
223	80.88383 175.45253 51.65265	rh.frontalpole	ex
224	77.9201 175.79876 59.32582	rh.frontalpole	ex
225	78.30745 175.89333 56.41262	rh.frontalpole	ex
226	76.68677 175.51829 56.25452	rh.frontalpole	ex
227	71.08141 169.33134 52.65777	rh.medialorbitofrontal	ex
228	78.87023 175.79801 60.36614	rh.superiorfrontal	ex
229	76.0171 174.42947 60.93076	rh.superiorfrontal	ex
230	71.77209 168.53362 44.62067	rh.frontalpole	ex
231	76.94824 167.84172 63.12296	rh.superiorfrontal	ex
232	74.75705 168.33131 64.56349	rh.superiorfrontal	ex
233	71.45415 168.20264 46.60208	rh.frontalpole	ex
234	77.8483 175.83038 53.31024	rh.frontalpole	ex
235	71.71081 165.87599 38.1405	rh.frontalpole	ex
236	75.60033 168.53211 37.84138	rh.frontalpole	ex
237	73.81056 134.94994 26.10663	rh.medialorbitofrontal	ex
238	72.61396 152.41261 25.86779	rh.medialorbitofrontal	ex
239	72.0043 155.29162 53.16511	rh.medialorbitofrontal	ex
240	70.73833 153.29046 50.7242	rh.medialorbitofrontal	ex
241	74.277 154.25304 26.73736	rh.medialorbitofrontal	ex
242	73.9188 152.71186 25.82348	rh.medialorbitofrontal	ex
243	73.19084 155.4355 27.74308	rh.medialorbitofrontal	ex
244	101.71558 100.36601 11.53295	rh.entorhinal	ex
245	103.25446 98.66593 13.81042	rh.fusiform	ex
246	111.78829 120.87436 17.52784	rh.superiortemporal	ex
247	79.42339 124.95187 27.55121	rh.lateralorbitofrontal	ex
248	80.75545 127.09468 27.08842	rh.lateralorbitofrontal	ex
249	81.29084 132.62745 26.00021	rh.lateralorbitofrontal	ex
250	80.29224 134.16547 25.43472	rh.lateralorbitofrontal	ex
251	79.74719 154.94606 26.41256	rh.lateralorbitofrontal	ex
252	79.13647 156.59702 27.02476	rh.lateralorbitofrontal	ex
253	78.42728 159.06425 27.69084	rh.lateralorbitofrontal	ex
254	79.419 157.86373 27.22961	rh.lateralorbitofrontal	ex
255	79.25105 160.74113 28.0133	rh.lateralorbitofrontal	ex
256	80.50573 160.95928 28.014	rh.lateralorbitofrontal	ex
257	81.32971 165.75607 31.48489	rh.lateralorbitofrontal	ex
258	80.24878 163.73007 30.01738	rh.lateralorbitofrontal	ex
259	78.866 163.30343 29.39364	rh.lateralorbitofrontal	ex
260	73.61418 128.27702 27.83955	rh.medialorbitofrontal	ex
261	75.48438 128.57716 27.76854	rh.medialorbitofrontal	ex
262	75.77738 129.95834 27.43224	rh.medialorbitofrontal	ex
263	74.08176 143.30615 22.69926	rh.medialorbitofrontal	ex
264	75.80098 147.6023 23.85739	rh.medialorbitofrontal	ex
265	75.96514 149.41286 24.41126	rh.medialorbitofrontal	ex
266	73.86054 147.30606 24.11591	rh.medialorbitofrontal	ex
267	76.22051 150.91684 25.17237	rh.medialorbitofrontal	ex
268	74.09496 149.71174 24.25304	rh.medialorbitofrontal	ex
