# Simulation Minimum: 0.0 0.0 0.0
# Simulation Maximum: 141.0981 176.00237 130.5685
# Box Minimum: 0.0 88.001185 0.0
# Box Maximum: 70.54905 176.00237 65.28425
# <6683>
# ID	Position (x y z)	Area	type
1	25.85073 88.27921 49.74519	lh.superiortemporal	ex
2	15.74113 92.68729 49.70033	lh.superiortemporal	ex
3	16.31512 93.30492 49.47175	lh.superiortemporal	ex
4	14.52921 89.40922 59.59877	lh.transversetemporal	ex
5	14.73668 88.6516 25.89549	lh.inferiortemporal	ex
6	28.07535 88.17254 58.02013	lh.transversetemporal	ex
7	24.58029 89.09615 61.8644	lh.transversetemporal	ex
8	27.3422 89.38715 57.93773	lh.transversetemporal	ex
9	22.18979 89.2529 62.07018	lh.transversetemporal	ex
10	25.59615 89.48738 60.90226	lh.transversetemporal	ex
11	37.53747 121.5687 58.17209	lh.parsopercularis	ex
12	69.78635 121.26714 61.29596	lh.caudalanteriorcingulate	ex
13	69.62511 122.80807 60.09565	lh.caudalanteriorcingulate	ex
14	69.38593 124.17271 60.55973	lh.caudalanteriorcingulate	ex
15	68.62205 88.9339 54.58128	lh.medialorbitofrontal	ex
16	68.77731 88.54575 52.93103	lh.medialorbitofrontal	ex
17	68.78987 89.72669 51.91022	lh.medialorbitofrontal	ex
18	68.51575 90.58524 55.68087	lh.medialorbitofrontal	ex
19	68.73777 91.39307 51.99735	lh.medialorbitofrontal	ex
20	68.66706 92.53411 53.33884	lh.medialorbitofrontal	ex
21	70.28285 119.77467 60.81407	lh.medialorbitofrontal	ex
22	68.79856 88.94288 62.06061	lh.posteriorcingulate	ex
23	68.47259 89.58655 63.57585	lh.posteriorcingulate	ex
24	70.00296 120.43571 61.90675	rh.caudalanteriorcingulate	ex
25	68.58979 92.02095 55.21865	lh.medialorbitofrontal	ex
26	69.33381 90.41795 52.89083	rh.insula	ex
27	69.75782 90.75176 51.66845	rh.insula	ex
28	69.68335 107.96232 62.33117	lh.medialorbitofrontal	ex
29	69.05301 108.54216 56.0171	lh.medialorbitofrontal	ex
30	68.31731 130.48023 54.34845	lh.rostralanteriorcingulate	ex
31	67.45214 132.22445 51.4135	lh.rostralanteriorcingulate	ex
32	67.94689 135.66764 49.50604	lh.rostralanteriorcingulate	ex
33	69.32424 122.21556 63.69998	lh.caudalanteriorcingulate	ex
34	68.53318 124.90373 64.8816	lh.caudalanteriorcingulate	ex
35	68.77338 93.57671 61.77792	lh.medialorbitofrontal	ex
36	68.74879 94.66711 62.59062	lh.medialorbitofrontal	ex
37	67.88849 130.22512 64.11828	lh.rostralanteriorcingulate	ex
38	69.90667 118.84053 65.07846	lh.caudalanteriorcingulate	ex
39	70.03646 119.22349 63.68287	lh.caudalanteriorcingulate	ex
40	69.69522 120.97648 62.98534	lh.caudalanteriorcingulate	ex
41	69.82284 119.73989 64.85835	rh.caudalanteriorcingulate	ex
42	69.56602 121.6575 64.01085	rh.caudalanteriorcingulate	ex
43	70.47431 118.48746 62.29495	lh.caudalanteriorcingulate	ex
44	68.77075 94.18353 60.25274	lh.medialorbitofrontal	ex
45	68.63805 96.31986 61.14656	lh.medialorbitofrontal	ex
46	68.63222 95.75993 59.64689	lh.medialorbitofrontal	ex
47	68.59696 96.15906 57.64209	lh.medialorbitofrontal	ex
48	68.65164 95.15315 53.71191	lh.medialorbitofrontal	ex
49	68.15594 99.42184 58.46139	lh.medialorbitofrontal	ex
50	68.37879 102.39022 59.68089	lh.medialorbitofrontal	ex
51	67.29121 132.67246 62.23702	lh.rostralanteriorcingulate	ex
52	70.2462 118.262 63.77209	rh.caudalanteriorcingulate	ex
53	70.33664 118.94593 62.38815	rh.caudalanteriorcingulate	ex
54	69.1513 94.32648 55.10739	rh.insula	ex
55	69.50768 95.97902 55.05198	rh.insula	ex
56	69.80375 97.32266 56.17285	rh.insula	ex
57	63.5999 90.29628 31.85151	lh.entorhinal	ex
58	68.71943 105.38206 56.22365	lh.medialorbitofrontal	ex
59	67.67092 89.34538 65.16092	lh.posteriorcingulate	ex
60	69.89429 88.14363 52.83579	rh.insula	ex
61	70.16422 99.12235 55.60784	rh.insula	ex
62	70.29369 100.51998 56.65584	rh.insula	ex
63	70.23065 102.18056 56.47965	rh.insula	ex
64	70.34661 103.14166 55.24748	rh.insula	ex
65	70.37452 114.11091 64.67035	lh.caudalanteriorcingulate	ex
66	68.78627 100.68532 63.69416	lh.medialorbitofrontal	ex
67	68.48943 100.68871 61.90717	lh.medialorbitofrontal	ex
68	68.95242 101.91819 64.54274	lh.medialorbitofrontal	ex
69	69.0121 103.2694 63.88557	lh.medialorbitofrontal	ex
70	70.03555 109.14882 61.19898	lh.medialorbitofrontal	ex
71	68.81915 92.13734 62.15209	lh.posteriorcingulate	ex
72	68.64113 93.86559 64.19395	lh.posteriorcingulate	ex
73	70.54815 115.99823 64.2429	lh.caudalanteriorcingulate	ex
74	68.76077 92.83095 59.81948	lh.medialorbitofrontal	ex
75	70.47116 113.16668 63.82176	lh.medialorbitofrontal	ex
76	20.65162 120.22291 27.85112	lh.superiortemporal	ex
77	68.81813 91.52342 60.90302	lh.medialorbitofrontal	ex
78	69.73029 108.48032 64.02863	lh.medialorbitofrontal	ex
79	68.53713 91.27964 63.5218	lh.posteriorcingulate	ex
80	68.68408 104.06813 58.90421	lh.medialorbitofrontal	ex
81	68.86197 90.02097 60.75749	lh.posteriorcingulate	ex
82	67.95561 137.5217 51.84911	lh.rostralanteriorcingulate	ex
83	62.43444 146.91419 57.19015	lh.rostralanteriorcingulate	ex
84	69.17622 123.86977 62.47469	lh.caudalanteriorcingulate	ex
85	68.80334 99.48947 64.57553	lh.medialorbitofrontal	ex
86	68.38369 91.91662 64.75097	lh.posteriorcingulate	ex
87	69.21492 105.48692 64.87177	lh.medialorbitofrontal	ex
88	68.78989 89.25463 59.35893	lh.medialorbitofrontal	ex
89	69.77557 122.6489 58.51906	lh.medialorbitofrontal	ex
90	68.55014 89.87977 57.02689	lh.medialorbitofrontal	ex
91	69.31427 125.8111 59.47676	lh.rostralanteriorcingulate	ex
92	68.96165 88.21973 57.75274	rh.insula	ex
93	61.80024 152.16792 49.45443	lh.medialorbitofrontal	ex
94	66.69499 135.58689 62.55198	lh.rostralanteriorcingulate	ex
95	51.11034 166.65781 42.1548	lh.rostralmiddlefrontal	ex
96	54.68647 168.95075 44.44523	lh.rostralmiddlefrontal	ex
97	68.74668 148.45881 56.8663	lh.superiorfrontal	ex
98	68.51593 148.08356 55.79764	lh.superiorfrontal	ex
99	70.10768 149.97477 56.73868	lh.superiorfrontal	ex
100	68.8194 125.26723 63.00858	lh.caudalanteriorcingulate	ex
101	68.12846 108.84777 54.40691	lh.medialorbitofrontal	ex
102	68.56495 127.26706 62.02181	lh.rostralanteriorcingulate	ex
103	61.09914 171.72339 47.08514	lh.frontalpole	ex
104	62.29667 151.63369 48.63279	lh.medialorbitofrontal	ex
105	61.35796 151.60037 48.93706	lh.medialorbitofrontal	ex
106	62.95365 152.52496 50.04365	lh.medialorbitofrontal	ex
107	64.16315 152.50892 49.55922	lh.medialorbitofrontal	ex
108	70.44008 159.79979 52.37514	lh.medialorbitofrontal	ex
109	67.30969 133.22642 64.64757	lh.rostralanteriorcingulate	ex
110	66.95981 134.44363 60.10145	lh.rostralanteriorcingulate	ex
111	66.78185 136.29191 59.37514	lh.rostralanteriorcingulate	ex
112	66.72027 138.1596 58.65447	lh.rostralanteriorcingulate	ex
113	68.75054 138.91364 57.49542	lh.rostralanteriorcingulate	ex
114	68.46563 139.86483 61.41761	lh.rostralanteriorcingulate	ex
115	69.88027 140.39184 58.59024	lh.rostralanteriorcingulate	ex
116	70.51145 141.12323 57.22524	lh.rostralanteriorcingulate	ex
117	70.08455 140.33524 55.33362	lh.rostralanteriorcingulate	ex
118	70.35519 141.86556 54.0436	lh.rostralanteriorcingulate	ex
119	67.60065 147.03444 56.06205	lh.rostralanteriorcingulate	ex
120	69.71117 145.91648 55.50772	lh.rostralanteriorcingulate	ex
121	67.0929 146.33341 54.38972	lh.rostralanteriorcingulate	ex
122	64.98019 146.15699 54.95716	lh.rostralanteriorcingulate	ex
123	67.93115 144.87914 52.98027	lh.rostralanteriorcingulate	ex
124	69.3961 147.21133 58.56257	lh.rostralanteriorcingulate	ex
125	60.67954 148.05993 59.58048	lh.rostralanteriorcingulate	ex
126	64.53311 146.03501 54.88756	lh.rostralanteriorcingulate	ex
127	62.50783 147.0864 57.2927	lh.rostralanteriorcingulate	ex
128	67.3083 147.00051 54.67945	lh.rostralanteriorcingulate	ex
129	66.02412 146.59295 55.06948	lh.rostralanteriorcingulate	ex
130	68.39063 147.33547 53.44322	lh.rostralanteriorcingulate	ex
131	69.59825 148.41744 54.56137	lh.rostralanteriorcingulate	ex
132	64.80098 151.57487 48.00295	lh.rostralanteriorcingulate	ex
133	70.37478 149.58681 53.93904	lh.superiorfrontal	ex
134	70.40349 148.53072 60.00078	rh.superiorfrontal	ex
135	68.63538 102.43391 61.18277	lh.medialorbitofrontal	ex
136	70.01263 111.03488 64.63385	lh.medialorbitofrontal	ex
137	68.56546 110.58198 54.18525	lh.medialorbitofrontal	ex
138	69.86111 141.27069 60.23801	lh.rostralanteriorcingulate	ex
139	67.60807 138.65866 59.32602	lh.rostralanteriorcingulate	ex
140	68.95562 146.90287 56.41896	lh.rostralanteriorcingulate	ex
141	69.28974 124.20706 63.72501	rh.caudalanteriorcingulate	ex
142	66.4096 136.81539 64.11878	lh.rostralanteriorcingulate	ex
143	64.02826 146.76452 56.62065	lh.rostralanteriorcingulate	ex
144	69.21987 125.70096 61.65066	rh.caudalanteriorcingulate	ex
145	68.84175 141.66841 63.51365	lh.rostralanteriorcingulate	ex
146	62.93447 146.34987 64.31566	lh.rostralanteriorcingulate	ex
147	69.94177 143.1106 63.01579	lh.rostralanteriorcingulate	ex
148	70.53896 143.49842 61.70157	lh.rostralanteriorcingulate	ex
149	70.46369 146.00991 59.46243	lh.rostralanteriorcingulate	ex
150	62.79859 147.85464 58.75485	lh.rostralanteriorcingulate	ex
151	63.65446 146.81475 56.65337	lh.rostralanteriorcingulate	ex
152	62.46942 144.933 65.12748	lh.superiorfrontal	ex
153	62.05204 145.26537 65.08066	lh.superiorfrontal	ex
154	62.78534 152.63815 50.15207	lh.medialorbitofrontal	ex
155	65.14548 147.37269 56.83529	lh.rostralanteriorcingulate	ex
156	69.91155 144.9579 54.0753	lh.rostralanteriorcingulate	ex
157	26.22708 133.41079 47.14516	lh.parsorbitalis	ex
158	28.60864 133.87589 48.78681	lh.parstriangularis	ex
159	27.5515 134.12405 47.4922	lh.parstriangularis	ex
160	25.07358 117.69915 37.11305	lh.superiortemporal	ex
