# <42817>
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>
0 32	6 727	1
0 33	6 163	1
0 33	6 1397	1
0 33	6 1398	1
4 26	6 41	1
4 26	6 183	1
4 26	6 331	1
4 26	6 537	1
4 26	6 727	1
4 26	6 1051	1
4 26	6 1255	1
4 26	6 1256	1
4 26	6 1258	1
4 26	6 1261	1
4 26	6 1396	1
4 26	6 1417	1
4 26	6 1428	1
4 26	6 1453	1
4 26	6 1459	1
4 26	6 1487	1
4 26	6 3701	1
4 38	6 183	1
4 38	6 331	1
4 38	6 727	1
4 38	6 1396	1
4 38	6 1459	1
0 80	6 1	1
0 80	6 2	1
0 80	6 3	1
0 80	6 4	1
0 105	6 163	1
0 105	6 729	1
0 105	6 1402	1
0 121	6 162	1
2 2	6 479	1
2 2	6 1417	1
2 3	6 535	1
0 203	6 170	1
0 203	6 726	1
0 203	6 727	1
4 90	6 1	1
4 91	6 1	1
4 91	6 2	1
4 91	6 1924	1
4 91	6 2078	1
4 91	6 2127	1
4 91	6 2167	1
0 253	6 1	1
0 253	6 2	1
0 255	6 460	1
0 255	6 464	1
0 255	6 535	1
0 255	6 556	1
0 256	6 464	1
0 256	6 550	1
0 272	6 183	1
0 272	6 727	1
0 274	6 183	1
0 274	6 727	1
0 274	6 729	1
0 274	6 1396	1
0 277	6 725	1
0 305	6 183	1
0 305	6 331	1
0 305	6 727	1
0 305	6 729	1
0 305	6 1396	1
0 305	6 1459	1
6 1	6 2	1
6 1	6 99	1
6 1	6 550	1
6 1	6 1014	1
6 1	6 1670	1
6 2	6 1	1
6 2	6 99	1
6 2	6 1112	1
6 2	6 1663	1
4 102	6 482	1
4 102	6 500	1
4 102	6 1407	1
4 102	6 1919	1
4 103	6 1925	1
4 104	6 1925	1
4 104	6 1926	1
4 105	6 500	1
4 105	6 1925	1
4 105	6 1926	1
4 105	6 2042	1
4 105	6 2043	1
4 105	6 2044	1
0 328	6 1925	1
0 328	6 1926	1
6 3	6 464	1
6 3	6 889	1
6 3	6 1071	1
6 4	6 99	1
6 4	6 541	1
6 4	6 1065	1
6 4	6 1105	1
6 4	6 1177	1
6 4	6 2942	1
0 331	6 1	1
0 331	6 464	1
0 332	6 464	1
0 332	6 535	1
0 333	6 729	1
2 7	6 500	1
2 9	6 455	1
2 9	6 484	1
2 9	6 486	1
2 9	6 495	1
2 9	6 498	1
2 9	6 535	1
2 9	6 536	1
2 9	6 1409	1
2 9	6 1410	1
2 9	6 1414	1
2 10	6 1409	1
2 10	6 1410	1
2 10	6 1414	1
2 10	6 1926	1
4 114	6 727	1
0 384	6 163	1
0 395	6 727	1
2 11	6 1	1
2 11	6 2	1
2 11	6 98	1
2 11	6 99	1
2 11	6 146	1
2 11	6 163	1
2 11	6 164	1
2 11	6 225	1
2 11	6 455	1
2 11	6 457	1
2 11	6 460	1
2 11	6 464	1
2 11	6 480	1
2 11	6 494	1
2 11	6 495	1
2 11	6 504	1
2 11	6 541	1
2 11	6 726	1
2 11	6 729	1
2 11	6 867	1
2 11	6 873	1
2 11	6 890	1
2 11	6 907	1
2 11	6 982	1
2 11	6 1004	1
2 11	6 1005	1
2 11	6 1008	1
2 11	6 1009	1
2 11	6 1010	1
2 11	6 1011	1
2 11	6 1013	1
2 11	6 1014	1
2 11	6 1030	1
2 11	6 1034	1
2 11	6 1040	1
2 11	6 1042	1
2 11	6 1046	1
2 11	6 1050	1
2 11	6 1051	1
2 11	6 1065	1
2 11	6 1066	1
2 11	6 1074	1
2 11	6 1093	1
2 11	6 1139	1
2 11	6 1174	1
2 11	6 1175	1
2 11	6 1178	1
2 11	6 1182	1
2 11	6 1183	1
2 11	6 1184	1
2 11	6 1255	1
2 11	6 1256	1
2 11	6 1416	1
2 11	6 1417	1
2 11	6 1418	1
2 11	6 1428	1
2 11	6 1435	1
2 11	6 1436	1
2 11	6 1437	1
2 11	6 1438	1
2 11	6 1439	1
2 11	6 1441	1
2 11	6 1442	1
2 11	6 1443	1
2 11	6 1444	1
2 11	6 1445	1
2 11	6 1447	1
2 11	6 1448	1
2 11	6 1449	1
2 11	6 1450	1
2 11	6 1452	1
2 11	6 1453	1
2 11	6 1454	1
2 11	6 1792	1
2 11	6 1793	1
2 11	6 1794	1
2 11	6 1795	1
2 11	6 1796	1
2 11	6 1797	1
2 11	6 1798	1
2 11	6 1799	1
2 11	6 1800	1
2 11	6 1801	1
0 408	6 162	1
0 408	6 163	1
0 408	6 729	1
0 408	6 1397	1
0 408	6 1398	1
6 5	6 6	1
6 5	6 7	1
6 5	6 8	1
6 6	6 5	1
6 6	6 13	1
6 6	6 14	1
2 12	6 5	1
2 12	6 178	1
2 12	6 252	1
2 12	6 262	1
2 12	6 274	1
2 12	6 328	1
2 12	6 329	1
2 12	6 330	1
2 12	6 331	1
2 12	6 332	1
2 12	6 333	1
2 12	6 334	1
2 13	6 5	1
2 13	6 121	1
2 13	6 178	1
2 13	6 179	1
2 13	6 252	1
2 13	6 255	1
2 13	6 274	1
2 13	6 331	1
2 13	6 332	1
2 14	6 5	1
2 14	6 13	1
2 14	6 331	1
2 14	6 332	1
0 417	6 5	1
0 418	6 5	1
0 418	6 13	1
0 418	6 20	1
0 419	6 5	1
0 419	6 8	1
0 419	6 13	1
0 419	6 20	1
0 419	6 21	1
0 419	6 23	1
0 419	6 145	1
0 419	6 302	1
0 419	6 324	1
0 419	6 331	1
0 419	6 352	1
0 419	6 355	1
0 419	6 1466	1
0 419	6 1468	1
0 419	6 1478	1
0 419	6 1479	1
2 15	6 5	1
2 15	6 8	1
2 15	6 13	1
2 15	6 20	1
2 15	6 183	1
2 15	6 328	1
2 15	6 329	1
2 15	6 331	1
2 15	6 333	1
2 15	6 334	1
2 15	6 349	1
2 15	6 350	1
2 15	6 351	1
2 15	6 352	1
2 15	6 353	1
2 15	6 354	1
2 15	6 355	1
2 15	6 356	1
2 15	6 397	1
2 15	6 1457	1
2 15	6 1462	1
2 15	6 1468	1
2 15	6 1476	1
2 15	6 1477	1
2 15	6 1480	1
2 15	6 1482	1
2 15	6 1484	1
2 15	6 1496	1
2 15	6 1498	1
2 16	6 5	1
2 16	6 8	1
2 16	6 328	1
2 16	6 329	1
2 16	6 349	1
2 16	6 1457	1
2 16	6 1462	1
2 16	6 1476	1
2 16	6 1480	1
2 16	6 1482	1
2 16	6 1483	1
2 16	6 1484	1
2 16	6 1495	1
2 17	6 5	1
2 17	6 8	1
2 17	6 13	1
2 17	6 20	1
2 18	6 5	1
2 18	6 8	1
2 18	6 13	1
2 18	6 20	1
2 18	6 328	1
2 18	6 329	1
2 18	6 330	1
2 18	6 331	1
2 18	6 332	1
2 18	6 333	1
2 18	6 334	1
2 18	6 349	1
2 18	6 350	1
2 18	6 351	1
2 18	6 352	1
2 18	6 353	1
2 18	6 354	1
2 18	6 355	1
2 18	6 397	1
2 18	6 1468	1
2 18	6 1477	1
2 18	6 1482	1
2 19	6 5	1
2 19	6 13	1
2 19	6 20	1
2 19	6 23	1
2 19	6 145	1
2 19	6 302	1
2 19	6 324	1
2 19	6 334	1
2 19	6 1479	1
2 19	6 1499	1
2 19	6 1500	1
2 19	6 1501	1
2 20	6 5	1
2 20	6 8	1
2 20	6 13	1
2 20	6 20	1
2 20	6 21	1
2 20	6 23	1
2 20	6 31	1
2 20	6 145	1
2 20	6 302	1
2 20	6 324	1
2 20	6 331	1
2 20	6 1479	1
2 21	6 5	1
2 21	6 331	1
2 21	6 332	1
0 420	6 5	1
0 420	6 13	1
0 420	6 20	1
0 420	6 21	1
0 420	6 23	1
0 420	6 145	1
0 420	6 183	1
0 420	6 302	1
0 420	6 324	1
0 420	6 325	1
0 420	6 331	1
0 420	6 332	1
0 420	6 356	1
0 420	6 727	1
0 420	6 1459	1
0 420	6 1479	1
0 421	6 5	1
0 421	6 8	1
0 421	6 13	1
0 421	6 20	1
0 421	6 23	1
0 421	6 31	1
0 421	6 302	1
0 421	6 324	1
0 421	6 331	1
0 421	6 332	1
0 421	6 355	1
0 421	6 356	1
0 421	6 1479	1
0 421	6 2232	1
2 22	6 5	1
2 22	6 8	1
2 22	6 20	1
2 22	6 21	1
2 22	6 23	1
2 22	6 302	1
2 22	6 324	1
2 22	6 325	1
2 22	6 331	1
2 22	6 1478	1
2 22	6 1479	1
2 23	6 5	1
2 23	6 324	1
2 23	6 325	1
2 23	6 329	1
2 23	6 331	1
2 23	6 332	1
6 7	6 5	1
6 7	6 22	1
6 7	6 330	1
6 7	6 2278	1
6 8	6 5	1
6 8	6 20	1
6 8	6 41	1
6 8	6 2276	1
7 1	6 5	1
7 1	6 7	1
7 1	6 13	1
7 1	6 31	1
7 1	6 330	1
7 1	6 334	1
7 1	6 353	1
7 1	6 2276	1
7 1	6 2278	1
7 1	6 2285	1
7 1	6 2289	1
2 24	6 5	1
2 24	6 186	1
2 24	6 187	1
2 24	6 201	1
2 24	6 272	1
2 24	6 280	1
2 24	6 281	1
2 24	6 283	1
2 24	6 285	1
2 24	6 332	1
3 1	6 5	1
3 1	6 8	1
3 1	6 13	1
3 1	6 20	1
3 1	6 49	1
3 1	6 50	1
3 1	6 51	1
6 9	6 10	1
6 9	6 11	1
6 9	6 12	1
6 10	6 9	1
6 10	6 11	1
6 10	6 15	1
6 11	6 9	1
6 11	6 10	1
6 11	6 27	1
6 12	6 9	1
6 12	6 29	1
6 12	6 4460	1
6 13	6 6	1
6 13	6 18	1
6 13	6 19	1
6 13	6 20	1
6 13	6 21	1
6 13	6 22	1
6 13	6 23	1
6 13	6 24	1
6 14	6 6	1
6 14	6 31	1
6 14	6 302	1
6 15	6 10	1
6 15	6 16	1
6 15	6 17	1
6 16	6 15	1
6 16	6 25	1
6 16	6 26	1
6 17	6 15	1
6 17	6 2282	1
6 17	6 2283	1
6 18	6 13	1
6 18	6 30	1
6 18	6 31	1
0 422	6 13	1
2 25	6 13	1
2 25	6 20	1
2 25	6 21	1
2 25	6 23	1
2 25	6 145	1
2 25	6 302	1
2 25	6 324	1
2 25	6 1478	1
2 25	6 1479	1
0 423	6 8	1
0 423	6 13	1
0 423	6 20	1
0 423	6 21	1
0 423	6 23	1
0 423	6 302	1
6 19	6 13	1
6 19	6 349	1
6 19	6 2273	1
6 19	6 2274	1
6 20	6 8	1
6 20	6 13	1
6 20	6 21	1
6 20	6 41	1
6 20	6 2294	1
6 21	6 13	1
6 21	6 20	1
6 21	6 187	1
6 21	6 196	1
6 21	6 197	1
6 21	6 199	1
6 21	6 300	1
6 21	6 324	1
6 21	6 325	1
6 21	6 1478	1
6 21	6 1502	1
6 21	6 1517	1
